"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"1",7.4,0.7,0,1.9,0.076,34,0.9978,3.51,0.56,9.4,"1"
"2",7.8,0.88,0,2.6,0.098,67,0.9968,3.2,0.68,9.8,"1"
"3",7.8,0.76,0.04,2.3,0.092,54,0.997,3.26,0.65,9.8,"1"
"4",11.2,0.28,0.56,1.9,0.075,60,0.998,3.16,0.58,9.8,"2"
"5",7.4,0.7,0,1.9,0.076,34,0.9978,3.51,0.56,9.4,"1"
"6",7.4,0.66,0,1.8,0.075,40,0.9978,3.51,0.56,9.4,"1"
"7",7.9,0.6,0.06,1.6,0.069,59,0.9964,3.3,0.46,9.4,"1"
"8",7.3,0.65,0,1.2,0.065,21,0.9946,3.39,0.47,10,"2"
"9",7.8,0.58,0.02,2,0.073,18,0.9968,3.36,0.57,9.5,"2"
"10",6.7,0.58,0.08,1.8,0.097,65,0.9959,3.28,0.54,9.2,"1"
"11",5.6,0.615,0,1.6,0.089,59,0.9943,3.58,0.52,9.9,"1"
"12",8.5,0.28,0.56,1.8,0.092,103,0.9969,3.3,0.75,10.5,"2"
"13",7.6,0.39,0.31,2.3,0.082,71,0.9982,3.52,0.65,9.7,"1"
"14",7.9,0.43,0.21,1.6,0.106,37,0.9966,3.17,0.91,9.5,"1"
"15",8.5,0.49,0.11,2.3,0.084,67,0.9968,3.17,0.53,9.4,"1"
"16",6.9,0.4,0.14,2.4,0.085,40,0.9968,3.43,0.63,9.7,"2"
"17",6.3,0.39,0.16,1.4,0.08,23,0.9955,3.34,0.56,9.3,"1"
"18",7.6,0.41,0.24,1.8,0.08,11,0.9962,3.28,0.59,9.5,"1"
"19",7.1,0.71,0,1.9,0.08,35,0.9972,3.47,0.55,9.4,"1"
"20",7.8,0.645,0,2,0.082,16,0.9964,3.38,0.59,9.8,"2"
"21",6.7,0.675,0.07,2.4,0.089,82,0.9958,3.35,0.54,10.1,"1"
"22",8.3,0.655,0.12,2.3,0.083,113,0.9966,3.17,0.66,9.8,"1"
"23",5.2,0.32,0.25,1.8,0.103,50,0.9957,3.38,0.55,9.2,"1"
"24",7.8,0.6,0.14,2.4,0.086,15,0.9975,3.42,0.6,10.8,"2"
"25",8.1,0.38,0.28,2.1,0.066,30,0.9968,3.23,0.73,9.7,"2"
"26",8.8,0.61,0.3,2.8,0.088,46,0.9976,3.26,0.51,9.3,"0"
"27",7.7,0.935,0.43,2.2,0.114,114,0.997,3.25,0.73,9.2,"1"
"28",8.8,0.66,0.26,1.7,0.074,23,0.9971,3.15,0.74,9.2,"1"
"29",6.6,0.52,0.04,2.2,0.069,15,0.9956,3.4,0.63,9.4,"2"
"30",6.6,0.5,0.04,2.1,0.068,14,0.9955,3.39,0.64,9.4,"2"
"31",7.6,0.51,0.15,2.8,0.11,73,0.9955,3.17,0.63,10.2,"2"
"32",10.2,0.42,0.57,3.4,0.07,10,0.9971,3.04,0.63,9.6,"1"
"33",7.8,0.59,0.18,2.3,0.076,54,0.9975,3.43,0.59,10,"1"
"34",7.3,0.39,0.31,2.4,0.074,46,0.9962,3.41,0.54,9.4,"2"
"35",8.8,0.4,0.4,2.2,0.079,52,0.998,3.44,0.64,9.2,"1"
"36",7.7,0.69,0.49,1.8,0.115,112,0.9968,3.21,0.71,9.3,"1"
"37",7,0.735,0.05,2,0.081,54,0.9966,3.39,0.57,9.8,"1"
"38",6.6,0.705,0.07,1.6,0.076,15,0.9962,3.44,0.58,10.7,"1"
"39",7.7,0.69,0.22,1.9,0.084,94,0.9961,3.31,0.48,9.5,"1"
"40",8.3,0.675,0.26,2.1,0.084,43,0.9976,3.31,0.53,9.2,"0"
"41",8.8,0.41,0.64,2.2,0.093,42,0.9986,3.54,0.66,10.5,"1"
"42",6.8,0.785,0,2.4,0.104,30,0.9966,3.52,0.55,10.7,"2"
"43",6.7,0.75,0.12,2,0.086,80,0.9958,3.38,0.52,10.1,"1"
"44",6.2,0.45,0.2,1.6,0.069,15,0.9958,3.41,0.56,9.2,"1"
"45",7.4,0.5,0.47,2,0.086,73,0.997,3.36,0.57,9.1,"1"
"46",6.3,0.3,0.48,1.8,0.069,61,0.9959,3.44,0.78,10.3,"2"
"47",6.9,0.55,0.15,2.2,0.076,40,0.9961,3.41,0.59,10.1,"1"
"48",7.7,0.49,0.26,1.9,0.062,31,0.9966,3.39,0.64,9.6,"1"
"49",7,0.62,0.08,1.8,0.076,24,0.9978,3.48,0.53,9,"1"
"50",7.7,0.49,0.26,1.9,0.062,31,0.9966,3.39,0.64,9.6,"1"
"51",6.8,0.775,0,3,0.102,23,0.9965,3.45,0.56,10.7,"1"
"52",7.6,0.9,0.06,2.5,0.079,10,0.9967,3.39,0.56,9.8,"1"
"53",8.1,0.545,0.18,1.9,0.08,35,0.9972,3.3,0.59,9,"2"
"54",8.3,0.61,0.3,2.1,0.084,50,0.9972,3.4,0.61,10.2,"2"
"55",8.1,0.545,0.18,1.9,0.08,35,0.9972,3.3,0.59,9,"2"
"56",8.1,0.575,0.22,2.1,0.077,65,0.9967,3.29,0.51,9.2,"1"
"57",7.2,0.49,0.24,2.2,0.07,36,0.996,3.33,0.48,9.4,"1"
"58",8.1,0.575,0.22,2.1,0.077,65,0.9967,3.29,0.51,9.2,"1"
"59",6.2,0.63,0.31,1.7,0.088,64,0.9969,3.46,0.79,9.3,"1"
"60",8.4,0.62,0.09,2.2,0.084,108,0.9964,3.15,0.66,9.8,"1"
"61",10.1,0.31,0.44,2.3,0.08,46,0.9988,3.32,0.67,9.7,"2"
"62",9.4,0.4,0.31,2.2,0.09,62,0.9966,3.07,0.63,10.5,"2"
"63",8.3,0.54,0.28,1.9,0.077,40,0.9978,3.39,0.61,10,"2"
"64",7.3,0.695,0,2.5,0.075,13,0.998,3.49,0.52,9.2,"1"
"65",7.8,0.5,0.17,1.6,0.082,102,0.996,3.39,0.48,9.5,"1"
"66",8,0.59,0.16,1.8,0.065,16,0.9962,3.42,0.92,10.5,"2"
"67",5.6,0.5,0.09,2.3,0.049,99,0.9937,3.63,0.63,13,"1"
"68",8.4,0.745,0.11,1.9,0.09,63,0.9965,3.19,0.82,9.6,"1"
"69",7.2,0.415,0.36,2,0.081,45,0.9972,3.48,0.64,9.2,"1"
"70",8.4,0.745,0.11,1.9,0.09,63,0.9965,3.19,0.82,9.6,"1"
"71",6.3,0.39,0.08,1.7,0.066,20,0.9954,3.34,0.58,9.4,"1"
"72",5.8,0.68,0.02,1.8,0.087,94,0.9944,3.54,0.52,10,"1"
"73",6.9,0.49,0.1,2.3,0.074,30,0.9959,3.42,0.58,10.2,"2"
"74",7.3,0.33,0.47,2.1,0.077,11,0.9958,3.33,0.53,10.3,"2"
"75",7.5,0.6,0.03,1.8,0.095,99,0.995,3.35,0.54,10.1,"1"
"76",7.5,0.6,0.03,1.8,0.095,99,0.995,3.35,0.54,10.1,"1"
"77",7.1,0.68,0,2.2,0.073,22,0.9969,3.48,0.5,9.3,"1"
"78",6.8,0.6,0.18,1.9,0.079,86,0.9968,3.59,0.57,9.3,"2"
"79",7.6,0.95,0.03,2,0.09,20,0.9959,3.2,0.56,9.6,"1"
"80",7.8,0.53,0.04,1.7,0.076,31,0.9964,3.33,0.56,10,"2"
"81",7.8,0.63,0.48,1.7,0.1,96,0.9961,3.19,0.62,9.5,"1"
"82",6.8,0.64,0.1,2.1,0.085,101,0.9956,3.34,0.52,10.2,"1"
"83",7.3,0.55,0.03,1.6,0.072,42,0.9956,3.37,0.48,9,"0"
"84",6.8,0.63,0.07,2.1,0.089,44,0.9953,3.47,0.55,10.4,"2"
"85",7.9,0.885,0.03,1.8,0.058,8,0.9972,3.36,0.33,9.1,"0"
"86",8,0.42,0.17,2,0.073,18,0.9972,3.29,0.61,9.2,"2"
"87",7.4,0.62,0.05,1.9,0.068,42,0.9961,3.42,0.57,11.5,"2"
"88",6.9,0.5,0.04,1.5,0.085,49,0.9958,3.35,0.78,9.5,"1"
"89",7.3,0.38,0.21,2,0.08,35,0.9961,3.33,0.47,9.5,"1"
"90",7.5,0.52,0.42,2.3,0.087,38,0.9972,3.58,0.61,10.5,"2"
"91",7,0.805,0,2.5,0.068,20,0.9969,3.48,0.56,9.6,"1"
"92",8.8,0.61,0.14,2.4,0.067,42,0.9969,3.19,0.59,9.5,"1"
"93",8.8,0.61,0.14,2.4,0.067,42,0.9969,3.19,0.59,9.5,"1"
"94",7.2,0.73,0.02,2.5,0.076,42,0.9972,3.44,0.52,9.3,"1"
"95",6.8,0.61,0.2,1.8,0.077,65,0.9971,3.54,0.58,9.3,"1"
"96",6.7,0.62,0.21,1.9,0.079,62,0.997,3.52,0.58,9.3,"2"
"97",8.9,0.31,0.57,2,0.111,85,0.9971,3.26,0.53,9.7,"1"
"98",7.4,0.39,0.48,2,0.082,67,0.9972,3.34,0.55,9.2,"1"
"99",6.4,0.37,0.25,1.9,0.074,49,0.9974,3.57,0.62,9.8,"2"
"100",7.6,0.55,0.21,2.2,0.071,28,0.9964,3.28,0.55,9.7,"1"
"101",7.6,0.55,0.21,2.2,0.071,28,0.9964,3.28,0.55,9.7,"1"
"102",7.3,0.58,0.3,2.4,0.074,55,0.9968,3.46,0.59,10.2,"1"
"103",9.6,0.32,0.47,1.4,0.056,24,0.99695,3.22,0.82,10.3,"2"
"104",7,0.43,0.36,1.6,0.089,37,0.99615,3.34,0.56,9.2,"2"
"105",7.8,0.44,0.28,2.7,0.1,95,0.9966,3.22,0.67,9.4,"1"
"106",8,0.725,0.24,2.8,0.083,62,0.99685,3.35,0.56,10,"2"
"107",8.2,0.57,0.26,2.2,0.06,65,0.9959,3.3,0.43,10.1,"1"
"108",7.8,0.735,0.08,2.4,0.092,41,0.9974,3.24,0.71,9.8,"2"
"109",8.7,0.625,0.16,2,0.101,49,0.9962,3.14,0.57,11,"1"
"110",8.1,0.725,0.22,2.2,0.072,41,0.9967,3.36,0.55,9.1,"1"
"111",7.5,0.49,0.19,1.9,0.076,44,0.9957,3.39,0.54,9.7,"1"
"112",7.8,0.34,0.37,2,0.082,58,0.9964,3.34,0.59,9.4,"2"
"113",7.4,0.53,0.26,2,0.101,72,0.9957,3.15,0.57,9.4,"1"
"114",6.8,0.61,0.04,1.5,0.057,10,0.99525,3.42,0.6,9.5,"1"
"115",8.6,0.645,0.25,2,0.083,28,0.99815,3.28,0.6,10,"2"
"116",7.7,0.43,0.25,2.6,0.073,63,0.99615,3.37,0.58,10.5,"2"
"117",5.2,0.48,0.04,1.6,0.054,106,0.9927,3.54,0.62,12.2,"2"
"118",8,0.38,0.06,1.8,0.078,49,0.99625,3.37,0.52,9.9,"2"
"119",8.5,0.37,0.2,2.8,0.09,58,0.998,3.34,0.7,9.6,"2"
"120",8.2,1,0.09,2.3,0.065,37,0.99685,3.32,0.55,9,"2"
"121",7.2,0.63,0,1.9,0.097,38,0.99675,3.37,0.58,9,"2"
"122",12,0.38,0.56,2.1,0.093,24,0.99925,3.14,0.71,10.9,"2"
"123",7.7,0.58,0.1,1.8,0.102,109,0.99565,3.08,0.49,9.8,"2"
"124",7.1,0.68,0.07,1.9,0.075,51,0.99685,3.38,0.52,9.5,"1"
"125",10.8,0.32,0.44,1.6,0.063,37,0.9985,3.22,0.78,10,"2"
"126",7.1,0.6,0,1.8,0.074,34,0.9972,3.47,0.7,9.9,"2"
"127",11.1,0.35,0.48,3.1,0.09,21,0.9986,3.17,0.53,10.5,"1"
"128",7.7,0.775,0.42,1.9,0.092,86,0.9959,3.23,0.59,9.5,"1"
"129",9.4,0.34,0.37,2.2,0.075,13,0.998,3.22,0.62,9.2,"1"
"130",6.6,0.695,0,2.1,0.075,56,0.9968,3.49,0.67,9.2,"1"
"131",10,0.31,0.47,2.6,0.085,33,0.99965,3.36,0.8,10.5,"2"
"132",7.9,0.33,0.23,1.7,0.077,45,0.99625,3.29,0.65,9.3,"1"
"133",7,0.975,0.04,2,0.087,67,0.99565,3.35,0.6,9.4,"0"
"134",8,0.52,0.03,1.7,0.07,35,0.99575,3.34,0.57,10,"1"
"135",7.9,0.37,0.23,1.8,0.077,49,0.9963,3.28,0.67,9.3,"1"
"136",8.1,0.87,0,3.3,0.096,61,1.00025,3.6,0.72,9.8,"0"
"137",11.4,0.26,0.44,3.6,0.071,19,0.9986,3.12,0.82,9.3,"2"
"138",9.9,0.59,0.07,3.4,0.102,71,1.00015,3.31,0.71,9.8,"1"
"139",9.9,0.59,0.07,3.4,0.102,71,1.00015,3.31,0.71,9.8,"1"
"140",12,0.45,0.55,2,0.073,49,0.9997,3.1,0.76,10.3,"2"
"141",7.5,0.4,0.12,3,0.092,53,0.9967,3.37,0.7,10.3,"2"
"142",8.7,0.52,0.09,2.5,0.091,49,0.9976,3.34,0.86,10.6,"2"
"143",8.7,0.52,0.09,2.5,0.091,49,0.9976,3.34,0.86,10.6,"2"
"144",10.4,0.55,0.23,2.7,0.091,48,0.9994,3.22,0.64,10.3,"2"
"145",6.9,0.36,0.25,2.4,0.098,16,0.9964,3.41,0.6,10.1,"2"
"146",10.8,0.5,0.46,2.5,0.073,27,1.0001,3.05,0.64,9.5,"1"
"147",10.6,0.83,0.37,2.6,0.086,70,0.9981,3.16,0.52,9.9,"1"
"148",7.1,0.63,0.06,2,0.083,29,0.99855,3.67,0.73,9.6,"1"
"149",7.2,0.65,0.02,2.3,0.094,31,0.9993,3.67,0.8,9.7,"1"
"150",7.5,0.53,0.06,2.6,0.086,44,0.9965,3.38,0.59,10.7,"2"
"151",11.1,0.18,0.48,1.5,0.068,15,0.9973,3.22,0.64,10.1,"2"
"152",8.3,0.705,0.12,2.6,0.092,28,0.9994,3.51,0.72,10,"1"
"153",8.4,0.65,0.6,2.1,0.112,90,0.9973,3.2,0.52,9.2,"1"
"154",7.6,0.62,0.32,2.2,0.082,54,0.9966,3.36,0.52,9.4,"1"
"155",7.9,0.53,0.24,2,0.072,105,0.996,3.27,0.54,9.4,"2"
"156",9,0.46,0.31,2.8,0.093,98,0.99815,3.32,0.63,9.5,"2"
"157",7.4,0.36,0.29,2.6,0.087,72,0.99645,3.39,0.68,11,"1"
"158",9.8,0.66,0.39,3.2,0.083,59,0.9989,3.37,0.71,11.5,"2"
"159",9.6,0.77,0.12,2.9,0.082,74,0.99865,3.3,0.64,10.4,"2"
"160",9.3,0.61,0.26,3.4,0.09,87,0.99975,3.24,0.62,9.7,"1"
"161",8.4,0.56,0.08,2.1,0.105,44,0.9958,3.13,0.52,11,"1"
"162",7.9,0.65,0.01,2.5,0.078,38,0.9963,3.34,0.74,11.7,"2"
"163",8.9,0.43,0.45,1.9,0.052,16,0.9948,3.35,0.7,12.5,"2"
"164",7.8,0.43,0.32,2.8,0.08,58,0.9974,3.31,0.64,10.3,"1"
"165",9.6,0.56,0.31,2.8,0.089,46,0.9979,3.11,0.92,10,"2"
"166",9.1,0.795,0,2.6,0.096,26,0.9994,3.35,0.83,9.4,"2"
"167",7.7,0.665,0,2.4,0.09,19,0.9974,3.27,0.73,9.3,"1"
"168",6.7,0.75,0.01,2.4,0.078,32,0.9955,3.55,0.61,12.8,"2"
"169",11.5,0.41,0.52,3,0.08,55,1.0001,3.26,0.88,11,"1"
"170",10.5,0.42,0.66,2.95,0.116,29,0.997,3.24,0.75,11.7,"2"
"171",11.9,0.43,0.66,3.1,0.109,23,1,3.15,0.85,10.4,"2"
"172",8.2,0.7,0.23,2,0.099,81,0.9973,3.19,0.7,9.4,"1"
"173",8.6,0.45,0.31,2.6,0.086,50,0.9982,3.37,0.91,9.9,"2"
"174",11.9,0.58,0.66,2.5,0.072,37,0.9992,3.05,0.56,10,"1"
"175",10.4,0.575,0.61,2.6,0.076,24,1,3.16,0.69,9,"1"
"176",7.9,0.24,0.4,1.6,0.056,25,0.9967,3.32,0.87,8.7,"2"
"177",8.3,0.26,0.42,2,0.08,27,0.9974,3.21,0.8,9.4,"2"
"178",7.7,0.51,0.28,2.1,0.087,54,0.998,3.42,0.74,9.2,"1"
"179",7.8,0.46,0.26,1.9,0.088,53,0.9981,3.43,0.74,9.2,"2"
"180",9.5,0.37,0.52,2,0.082,26,0.998,3.18,0.51,9.5,"1"
"181",11.5,0.59,0.59,2.6,0.087,49,0.9988,3.18,0.65,11,"2"
"182",8.7,0.765,0.22,2.3,0.064,42,0.9963,3.1,0.55,9.4,"1"
"183",11.4,0.6,0.49,2.7,0.085,41,0.9994,3.15,0.63,10.5,"2"
"184",7.7,0.69,0.05,2.7,0.075,27,0.9974,3.26,0.61,9.1,"1"
"185",9.8,0.44,0.47,2.5,0.063,28,0.9981,3.24,0.65,10.8,"2"
"186",12,0.39,0.66,3,0.093,30,0.9996,3.18,0.63,10.8,"2"
"187",9,0.43,0.34,2.5,0.08,86,0.9987,3.38,0.62,9.5,"2"
"188",7.1,0.735,0.16,1.9,0.1,77,0.9966,3.27,0.64,9.3,"1"
"189",10.6,0.48,0.64,2.2,0.111,20,0.997,3.26,0.66,11.7,"2"
"190",6.8,0.77,0,1.8,0.066,52,0.9976,3.62,0.68,9.9,"1"
"191",6.6,0.84,0.03,2.3,0.059,48,0.9952,3.52,0.56,12.3,"2"
"192",7.7,0.96,0.2,2,0.047,60,0.9955,3.36,0.44,10.9,"1"
"193",10.5,0.24,0.47,2.1,0.066,24,0.9978,3.15,0.9,11,"2"
"194",6.6,0.84,0.03,2.3,0.059,48,0.9952,3.52,0.56,12.3,"2"
"195",6.4,0.67,0.08,2.1,0.045,48,0.9949,3.49,0.49,11.4,"2"
"196",9.5,0.78,0.22,1.9,0.077,32,0.9988,3.26,0.56,10.6,"2"
"197",9.1,0.52,0.33,1.3,0.07,30,0.9978,3.24,0.6,9.3,"1"
"198",10.5,0.24,0.47,2.1,0.066,24,0.9978,3.15,0.9,11,"2"
"199",7.8,0.55,0.35,2.2,0.074,66,0.9974,3.25,0.56,9.2,"1"
"200",10.4,0.41,0.55,3.2,0.076,54,0.9996,3.15,0.89,9.9,"2"
"201",8,0.67,0.3,2,0.06,62,0.9958,3.26,0.56,10.2,"2"
"202",11.1,0.45,0.73,3.2,0.066,22,0.9986,3.17,0.66,11.2,"2"
"203",7,0.62,0.18,1.5,0.062,50,0.9951,3.08,0.6,9.3,"1"
"204",5.3,0.57,0.01,1.7,0.054,27,0.9934,3.57,0.84,12.5,"2"
"205",8.6,0.53,0.22,2,0.1,27,0.9967,3.2,0.56,10.2,"2"
"206",11.9,0.39,0.69,2.8,0.095,35,0.9994,3.1,0.61,10.8,"2"
"207",11.9,0.39,0.69,2.8,0.095,35,0.9994,3.1,0.61,10.8,"2"
"208",6.8,0.56,0.03,1.7,0.084,35,0.9968,3.44,0.63,10,"2"
"209",10.4,0.33,0.63,2.8,0.084,22,0.9998,3.26,0.74,11.2,"2"
"210",7,0.23,0.4,1.6,0.063,67,0.9952,3.5,0.63,11.1,"1"
"211",8.9,0.59,0.39,2.3,0.095,22,0.9986,3.37,0.58,10.3,"1"
"212",9.2,0.63,0.21,2.7,0.097,65,0.9988,3.28,0.58,9.6,"1"
"213",9.2,0.43,0.52,2.3,0.083,23,0.9976,3.35,0.61,11.3,"2"
"214",8.3,0.615,0.22,2.6,0.087,19,0.9982,3.26,0.61,9.3,"1"
"215",11.5,0.315,0.54,2.1,0.084,15,0.9987,2.98,0.7,9.2,"2"
"216",10.3,0.5,0.42,2,0.069,51,0.9982,3.16,0.72,11.5,"2"
"217",11.4,0.36,0.69,2.1,0.09,21,1,3.17,0.62,9.2,"2"
"218",8.7,0.82,0.02,1.2,0.07,48,0.9952,3.2,0.58,9.8,"1"
"219",9.6,0.54,0.42,2.4,0.081,52,0.997,3.2,0.71,11.4,"2"
"220",9.6,0.68,0.24,2.2,0.087,28,0.9988,3.14,0.6,10.2,"1"
"221",9.3,0.27,0.41,2,0.091,16,0.998,3.28,0.7,9.7,"1"
"222",9.4,0.685,0.11,2.7,0.077,31,0.9984,3.19,0.7,10.1,"2"
"223",10.2,0.67,0.39,1.9,0.054,17,0.9976,3.17,0.47,10,"1"
"224",10.2,0.645,0.36,1.8,0.053,14,0.9982,3.17,0.42,10,"2"
"225",9.3,0.39,0.4,2.6,0.073,26,0.9984,3.34,0.75,10.2,"2"
"226",8.7,0.69,0.31,3,0.086,81,1.0002,3.48,0.74,11.6,"2"
"227",7.8,0.52,0.25,1.9,0.081,38,0.9984,3.43,0.65,9,"2"
"228",7.2,0.34,0.32,2.5,0.09,113,0.9966,3.32,0.79,11.1,"1"
"229",8.7,0.69,0.31,3,0.086,81,1.0002,3.48,0.74,11.6,"2"
"230",7.8,0.52,0.25,1.9,0.081,38,0.9984,3.43,0.65,9,"2"
"231",10.2,0.49,0.63,2.9,0.072,26,0.9968,3.16,0.78,12.5,"2"
"232",11.2,0.67,0.55,2.3,0.084,13,1,3.17,0.71,9.5,"2"
"233",10,0.59,0.31,2.2,0.09,62,0.9994,3.18,0.63,10.2,"2"
"234",10.5,0.51,0.64,2.4,0.107,15,0.9973,3.09,0.66,11.8,"2"
"235",10.5,0.51,0.64,2.4,0.107,15,0.9973,3.09,0.66,11.8,"2"
"236",9.8,0.25,0.49,2.7,0.088,33,0.9982,3.42,0.9,10,"2"
"237",9.2,0.43,0.49,2.4,0.086,116,0.9976,3.23,0.64,9.5,"1"
"238",7,0.38,0.49,2.5,0.097,85,0.9962,3.39,0.77,11.4,"2"
"239",9.9,0.63,0.24,2.4,0.077,33,0.9974,3.09,0.57,9.4,"1"
"240",9.1,0.22,0.24,2.1,0.078,28,0.999,3.41,0.87,10.3,"2"
"241",11.9,0.38,0.49,2.7,0.098,42,1.0004,3.16,0.61,10.3,"1"
"242",11.9,0.38,0.49,2.7,0.098,42,1.0004,3.16,0.61,10.3,"1"
"243",10.3,0.27,0.24,2.1,0.072,33,0.9956,3.22,0.66,12.8,"2"
"244",10,0.48,0.24,2.7,0.102,32,1,3.28,0.56,10,"2"
"245",9.1,0.22,0.24,2.1,0.078,28,0.999,3.41,0.87,10.3,"2"
"246",9.9,0.63,0.24,2.4,0.077,33,0.9974,3.09,0.57,9.4,"1"
"247",8.1,0.825,0.24,2.1,0.084,13,0.9972,3.37,0.77,10.7,"2"
"248",9.2,0.59,0.24,3.3,0.101,47,0.9988,3.26,0.67,9.6,"1"
"249",9.3,0.715,0.24,2.1,0.07,20,0.9966,3.12,0.59,9.9,"1"
"250",11.2,0.66,0.24,2.5,0.085,53,0.9993,3.06,0.72,11,"2"
"251",9.1,0.47,0.49,2.6,0.094,106,0.9982,3.08,0.59,9.1,"1"
"252",7.5,0.55,0.24,2,0.078,28,0.9983,3.45,0.78,9.5,"2"
"253",10.6,0.31,0.49,2.5,0.067,21,0.9987,3.26,0.86,10.7,"2"
"254",6.8,0.51,0.01,2.1,0.074,25,0.9958,3.33,0.56,9.5,"2"
"255",9.4,0.43,0.24,2.8,0.092,45,0.998,3.19,0.73,10,"2"
"256",9.5,0.46,0.24,2.7,0.092,44,0.998,3.12,0.74,10,"2"
"257",9,0.54,0.49,2.9,0.094,110,0.9982,3.08,0.61,9.2,"1"
"258",7.6,0.29,0.49,2.7,0.092,60,0.9971,3.31,0.61,10.1,"2"
"259",6.2,0.36,0.24,2.2,0.095,42,0.9946,3.57,0.57,11.7,"2"
"260",11.5,0.35,0.49,3.3,0.07,37,1.0003,3.32,0.91,11,"2"
"261",10.2,0.24,0.49,2.4,0.075,28,0.9978,3.14,0.61,10.4,"1"
"262",9.9,0.5,0.24,2.3,0.103,14,0.9978,3.34,0.52,10,"0"
"263",8.8,0.44,0.49,2.8,0.083,111,0.9982,3.3,0.6,9.5,"1"
"264",8.8,0.47,0.49,2.9,0.085,110,0.9982,3.29,0.6,9.8,"1"
"265",10.6,0.31,0.49,2.2,0.063,40,0.9976,3.14,0.51,9.8,"2"
"266",12,0.28,0.49,1.9,0.074,21,0.9976,2.98,0.66,9.9,"2"
"267",7.3,0.73,0.24,1.9,0.108,102,0.9967,3.26,0.59,9.3,"1"
"268",9,0.45,0.49,2.6,0.084,75,0.9987,3.35,0.57,9.7,"1"
"269",9,0.45,0.49,2.6,0.084,75,0.9987,3.35,0.57,9.7,"1"
